degree_type,founder_count
BHS,1
BHSc,1
BI,1
BIB,1
BID,3
BIE,4
BIS,5
BIS Multimedia,1
BISyE,1
BIT,5
BIT/BSc,1
BInfoTech,2
BJ,3
BLA,2
BLS,3
BLaw,1
BM,10
BMBch,1
BME,7
BME (summa cum laude),1
"BME, KTH",1
BME/TIM,1
BMM,1
BMS,2
BMUS,1
BMath,12
"BMath, MASc",1
BMed,1
BMedSci,1
BMus,7
"BMus, Music",1
BOT,1
BPD,1
BPSE,1
BPharm,1
BPhil,1
BPhty,1
BS,22918
BS & BA,4
BS & Honors Thesis in Ethics in ,1
BS & MA,1
"BS & MBA,",1
BS & MS,6
"BS & MS,",1
BS (April 2014),1
BS (Dual),1
BS (Hon's),1
BS (Honors,1
BS (Hons),1
BS (Hons.),1
BS (Marketing,1
BS + BA,1
BS + MS,1
BS - Business Admin.,1
BS - Business Management,1
BS / BA,2
BS / MBA,1
BS / MS,2
"BS / MS, EECS",1
BS Accounting,1
BS Advertising,1
BS BME,1
BS Business Admin,1
BS Business Administration,2
BS Business MS Adult Education,1
BS Business Management,1
BS CSci,1
BS ChemE,1
BS Commerce,2
BS Comp Eng,1
BS Computer Engineering,1
BS Computer Science,3
BS Degree,2
BS Design,1
BS EE,1
BS EE / CS,1
BS Econ,3
"BS Econ, BS Engg",1
BS Econimics,1
BS Economcis,1
BS Economics,5
BS Economics / BSE Electrical En,1
BS Economics with Financial Appl,1
BS Ed,1
BS Electrical Engineerin,1
BS Electrical Engineering,1
BS Electronics & Communication E,1
BS Eng,1
BS Engineering,4
BS Finance,3
"BS Finance, Finance,",1
BS Foreign Service,1
BS Healthcare Administration,1
BS Hons,1
BS I&OE,1
BS ILR,1
BS IT,1
BS M.E,1
BS MS,1
BS Major,1
BS Marketing,4
BS Math,1
BS Mathematics,1
BS Mechanical Engineering,1
BS Mechanical engg,1
BS Medical Technology,1
BS Minor,1
BS Nursing,1
BS PL,1
BS Pharmacy,1
BS Robert H Smith School of Busi,1
BS Symbolic Systems,1
BS and BA,1
BS and MBA,3
BS and Master's,1
BS and PHD,1
BS and an MAcc,1
BS and an MBA,2
BS and an MS,1
BS cum laude,2
BS degree,3
BS hons,2
BS in Accounting & BS in MIS,1
BS in BA,2
BS in Business Administration,7
BS in Business Adminstration,1
BS in CS,2
BS in Commerce,3
BS in Communications,2
BS in Computer Engineering,1
BS in Computer Science,2
BS in EIT,1
BS in Economics,9
BS in Engineering,1
BS in Engineering Chemistry,1
BS in Foreign Service,1
"BS in French, Minor in Business",1
BS in Information Management,1
BS in Mechanical Engineering,3
BS of Business Administration,1
BS with College Honors,1
BS with High Distinction,1
BS with High Honors,1
BS with Honors,1
BS with honors,1
BS(CS) Hons.,1
BS(Hons),1
BS(IT),1
"BS, AB",1
"BS, Accounting",2
"BS, Agricultural Economics",1
"BS, Applied Economics, Computer ",1
"BS, BAH",1
"BS, Biochemistry",1
"BS, Biology",1
"BS, Business",3
"BS, Business Administration",1
"BS, Business Administration and ",1
"BS, Business Information Technol",1
"BS, Business Management",1
"BS, Business Management / IT",1
"BS, Chemical-Biological Engineer",1
"BS, Civil Engineering",1
"BS, Computer Engineering",1
"BS, Computer Science",1
"BS, Computer Science & Engineeri",1
"BS, EECS",1
"BS, Economics",2
"BS, Economics (Concentrations: F",1
"BS, Economics - Honors Program",1
"BS, Economics, Mathematics",1
"BS, Electrical Engineering",1
"BS, Electrical Enginering",1
"BS, Engineering",2
"BS, Finance",1
"BS, History",1
"BS, Honors",2
"BS, JD",1
"BS, JD, MBA",1
"BS, Journalism",1
"BS, Labor Relations",1
"BS, Life Sciences",1
"BS, M.Eng., ECE",1
"BS, M.Phil.",1
"BS, MA",1
"BS, MBA",2
"BS, MCE",1
"BS, MIS",2
"BS, MS",19
"BS, MS and Ph.D.",1
"BS, MS and PhD",1
"BS, MS, EE",1
"BS, MS, PhD, Engineering",1
"BS, Magna Cum Laude Magnum Cum L",1
"BS, Magna cum Laude",1
"BS, Major",1
"BS, Mass Communications",1
"BS, Operations Research & Inform",1
"BS, Summa Cum Laude",1
"BS, cum laude",1
"BS, with highest honors",1
"BS, with honors",1
"BS,MD",1
BS- Ind Mgmt,1
BS-EECS,1
"BS-honorary, Chemistry",1
BS-honors,1
BS.c Business Administration,1
BS.c-Hon.,1
BS/BA,20
BS/BA/MS,1
BS/MBA,1
BS/MS,18
BS/MSE,1
BS/MSEE,2
BS/MSME,1
BS:Business Administration,1
BS; MS,1
BSA,6
BSAC,1
"BSAC, Accounting",1
BSAP,1
BSB,6
"BSB, Markeitng",1
BSBA,6
BSBA - cum laude,1
BSBA-MKG,1
BSBE,1
BSBM,3
BSBME,1
BSBU,1
BSC,1
BSC (Econ),1
BSC (Hons) 2:1,1
BSC 2:1,1
BSC AND PHD,1
BSC CS,1
BSC EE,1
BSC Econ 1st Class,1
BSC HON,1
BSC Honours,3
BSC(IT),1
"BSC, Finance",1
BSC- Honors,1
BSCE,13
BSCEE,1
BSCEng,1
BSCH,1
BSCIS,1
BSCO,1
BSCPE,1
BSCSE and MSEE,1
BSChE,4
BSChE and MSChE,1
BSChmE,1
BSCpE,2
BSE,7
BSE / BS,1
BSE / CSE,1
BSE / MSE,1
BSE Biomedical Engineering,1
BSE Summa Cum Laude,1
BSE in Economics and Engineering,1
"BSE, BA",1
"BSE, BAS,",1
"BSE, BME, EE, CS",1
"BSE, Biomedical Engineering",1
"BSE, Industrial and Operations E",1
"BSE, MSE",1
BSE/MS,1
BSEA,1
BSECE,2
BSECON,1
BSED,1
BSEE,7
BSEE (Magna Cum Laude),1
BSEE - Computer Science & Biomed,1
BSEE Minor CS,1
BSEE and Masters degree,1
BSEE and a MSEE,1
BSEE degree,1
BSEE with Honors,1
"BSEE, BSPhysics",1
"BSEE, Business Minor",1
"BSEE, MSEE",3
"BSEE, with Honors",1
BSEE/MSCE,1
BSEE/MSEE,1
BSEET,7
BSES,1
BSEcon,1
BSEd,1
BSF,1
BSFS,17
"BSFS, International Economics",1
BSIE,12
"BSIE,",1
BSIM,1
BSIT,4
BSJ,10
BSL,1
BSM,11
BSMDE,1
BSME,79
BSME and MS,1
BSME and MSME,1
BSME and an MBA,1
"BSME, Mechanical Engineering",1
BSME/BSEE,1
BSMe,1
BSN,7
BSOCSCI,1
BSP,1
BSPH,1
BSS,1
BSS(Honars),1
BSSW,2
BSW,1
BSc,55
BSc & MA,1
BSc (1st Class Hons.),1
BSc (1st Hons),1
BSc (2:1),1
BSc (BIT),1
BSc (Business Admninistration),1
BSc (Dropout),1
BSc (Dual hons.),1
BSc (Eng),1
BSc (Eng) Hons,1
BSc (Honours 1st Class),1
BSc (Honours),2
BSc (Hons I),1
BSc (Hons),1
BSc (Hons) 1st class,1
BSc (Hons) 2.1,1
BSc (Hons) Business Systems Mana,1
"BSc (Hons) DPS - 2:1, Accounting",1
BSc (Hons) Sandwich,1
"BSc (Hons), Business Information",1
BSc (Hons)_,1
BSc (Horns),1
BSc (Joint Hons),1
BSc (cum laude),1
BSc - 1st Class Honours,1
"BSc / BEng, Chemical Engineering",1
BSc / MSc,1
BSc 1st Class Honours,1
BSc 2.1,1
BSc 2.1 (Honours),1
BSc ARCS,2
BSc Astrophysics,1
BSc Commerce,1
BSc Computer Engineering and Inf,1
BSc Computer Science,2
BSc Economics,1
BSc Eng (Hons),1
BSc Engineering,2
BSc Honors,5
BSc Honours,6
BSc Hons Degree,1
BSc Hons First class,1
"BSc Hons, Financial Services",1
BSc International Business Admin,1
BSc Mathematics,1
BSc Mech Eng,1
BSc PhD DSc,1
BSc Product Design and Technolog,1
BSc Special Honors,1
BSc Telecommunications Engineeri,1
BSc and MSc,1
BSc and PhD,1
BSc in Applied Math,1
BSc in BA,1
BSc in Computer Science,1
BSc in Management (Hons),1
BSc(Appli.Sci),1
BSc(Econ),2
BSc(Hons)+Uni. Medal,1
"BSc(Hons), Biochemistry and Mole",1
BSc(IT),1
BSc(dropped out of university  f,1
BSc+MSc,1
"BSc, Biological Sciences (Microb",1
"BSc, Business Studies",1
"BSc, CPSC",1
"BSc, Chemistry",1
"BSc, Computer Engineering",1
"BSc, Engineering",1
"BSc, Engineering Science",1
"BSc, Environmental and Energy Te",1
"BSc, Government and Economics",1
"BSc, LL.B",1
"BSc, LLB(Hons)",1
"BSc, MB, ChB",1
"BSc, MSc",1
"BSc, Mathematics",1
"BSc, Nanoscience & Nanotechnolog",1
BSc.,8
BSc. & MSc,1
BSc. (Hons) II.I,1
BSc. Chemical Eng.,1
BSc. Computer Science,1
BSc. Eng.,1
BSc. Eng.(Civil),1
BSc. Honors,1
BSc. Honours,1
BSc. and MSc.,1
BSc. in Economics,1
BSc. with Honours,1
BSc.(Econ.),1
"BSc., 1st Class Joint Honours",1
"BSc., EE",1
"BSc., MSc.",1
BSc.Eng,1
BScBA,1
BScCN,1
BScE,3
BScEE,1
BScH,1
BScIS,1
BSci,2
BSs,1
BSsp,1
BT,2
BTE,1
BTEC Diploma,1
BTEC HNC,1
BTEC HND,1
BTEC National Diploma,2
BTECH,651
BTECT,1
BTS,5
BTS Assistante de Direction en a,1
BTS Audiovisuel,1
BTech,1
BTech & MS,1
BTech & MTech,1
BTech Computer Engineering,1
BTech National Diploma,1
BTech Systems Development,1
"BTech, Chemical Engineering",1
"BTech, Electronics and Communica",1
BUP,1
BUP i COU,1
BUSINESS ADMINISTRATION,2
BVSc,1
BWL,2
BaSCEngSci,1
Bac,1
Bac +3,1
Bac +5,1
Bac C,2
Bac+5,1
Bacahelors,1
Bacc,1
Bacc.,1
Bacc. Appl. Sciences,1
Baccalaureat,3
Baccalaureat C,2
Baccalaureate,7
Baccalaureate Degree,1
Baccalaureate degree,1
Baccalaureate of science,1
Baccalaureates,1
BaccalaurÃ©at,1
Baccalauréat,2
Bacehelor of Applied Arts,1
Bacehelor's,1
Bacehlor,1
Bach,1
Bach Engineering,1
Bach Science in IT,1
Bach of App Science,1
Bach of International Business,1
Bach of Science,2
Bach. Marketing,1
Bach. of Computer Science and So,1
Bach. of Engg.,1
Bachalor,2
Bachalor Degree,2
Bachalor of Engineering,1
Bachalors,1
Bacharel,3
Bacharel em economia,1
Bacheclor of Science in Nuclear ,1
Bachehor of Arts,1
Bachelaor,1
Bacheleor's Degree,1
Bachellor,3
Bachellor's,2
Bachellors,5
Bachelo of Actuarial and Finance,1
Bachelor,29
Bachelor  Degree,10
Bachelor  with Honours,1
Bachelor & Master of Technology,1
Bachelor (3y-licence),1
Bachelor (BSc),1
Bachelor (Erasmus exchange),1
Bachelor (Graduate),1
Bachelor (Honors),1
Bachelor (Honours),2
Bachelor (Hons),2
Bachelor (Specialist) of Compute,1
Bachelor (Summa Cum Laude),1
Bachelor (Transferred),1
Bachelor + Master,1
Bachelor Arts,3
Bachelor BCA,1
Bachelor Business,1
Bachelor Business Administration,5
Bachelor Candidate,1
Bachelor Degree,30
Bachelor Degree with Honors,1
"Bachelor Degree, Computer Engine",1
Bachelor Degrees of Science,1
Bachelor ECG,1
Bachelor ES in Hotel Management,1
Bachelor Engineering,2
Bachelor Engineering Hons,1
Bachelor Informasjonsteknologi,1
Bachelor Of Applied Sciences,1
Bachelor Of Fine Arts,1
Bachelor Of Information Technolo,1
Bachelor Of Science (B.S.),1
Bachelor Of The Arts,1
Bachelor Science,7
Bachelor Science-Finance,1
Bachelor after Master,1
Bachelor and Diplome,1
Bachelor and Master,2
Bachelor and Master's degree,1
Bachelor and a Doctorate degree,1
Bachelor degree,2
Bachelor degree in Engineering,1
Bachelor degrees,2
Bachelor in Advertising,1
Bachelor in Applied Science,1
Bachelor in Arts,1
Bachelor in Buisness,1
Bachelor in Business Admin,1
Bachelor in Business Administrat,3
Bachelor in Business Management,1
Bachelor in Computer Engineering,1
Bachelor in Computer Science,3
Bachelor in Computing,1
Bachelor in Corporate Administra,1
"Bachelor in Economics, Corporate",1
Bachelor in Economy,1
Bachelor in Electronics Engineer,1
Bachelor in Engineering,2
Bachelor in Engineering Science,1
Bachelor in Fine Arts,1
Bachelor in IT,1
Bachelor in Information Technolo,1
Bachelor in Science,5
Bachelor in Science of Business ,1
Bachelor in Social Communication,1
Bachelor in Technology,2
Bachelor in Techology,1
Bachelor in commerce,2
Bachelor in computer science,1
Bachelor of  Science,2
Bachelor of Accountancy,9
Bachelor of Accountancy & Law (H,1
Bachelor of Accountancy Honours,1
Bachelor of Accounting,1
Bachelor of Administration,1
Bachelor of Applied Information ,1
Bachelor of Applied Science,29
Bachelor of Applied Science (B.A,20
Bachelor of Applied Science (BAS,3
Bachelor of Applied Science Degr,1
Bachelor of Applied Science degr,1
Bachelor of Applied Science with,1
"Bachelor of Applied Science, Hon",1
Bachelor of Applied Sciences,1
Bachelor of Architecture,8
Bachelor of Architecture (B.Arch,1
Bachelor of Ars,1
Bachelor of Art,10
"Bachelor of Art,",1
Bachelor of Arts,26
Bachelor of Arts (B.A,1
Bachelor of Arts (B.A.,2
Bachelor of Arts (B.A.),137
Bachelor of Arts (B.A.) Honors,1
"Bachelor of Arts (B.A.),",3
"Bachelor of Arts (B.A.), Economi",2
"Bachelor of Arts (B.A.), Liberal",1
"Bachelor of Arts (B.A.), MBA, Qu",1
"Bachelor of Arts (B.A.), Public ",1
Bachelor of Arts (BA,1
Bachelor of Arts (BA),54
"Bachelor of Arts (BA), Economics",1
"Bachelor of Arts (BA), Physics",1
Bachelor of Arts (Honours),2
Bachelor of Arts (Hons),2
Bachelor of Arts (honours),1
Bachelor of Arts / Science,1
Bachelor of Arts Degree,5
Bachelor of Arts Degree in Histo,1
Bachelor of Arts HSG,1
Bachelor of Arts Liberal Arts,1
Bachelor of Arts and Sciences,2
Bachelor of Arts degree,3
Bachelor of Arts in Applied Scie,1
Bachelor of Arts in Business Acc,1
Bachelor of Arts in Business Adm,1
Bachelor of Arts in Business Stu,1
Bachelor of Arts in Industrial A,1
Bachelor of Arts in Internationa,1
Bachelor of Arts in Mass Communi,1
Bachelor of Arts with Distinctio,2
Bachelor of Arts with Great Dist,1
Bachelor of Arts with Honors,1
Bachelor of Arts with honors,1
"Bachelor of Arts, Applied Scienc",1
"Bachelor of Arts, Bachelor of Sc",1
"Bachelor of Arts, Chemistry, Bio",1
"Bachelor of Arts, Economics",3
"Bachelor of Arts, Economics / Ma",1
"Bachelor of Arts, Economics, Fin",1
"Bachelor of Arts, Econonmics",1
"Bachelor of Arts, Honors",1
"Bachelor of Arts, Political Scie",1
Bachelor of Arts/Bachelor of Com,1
Bachelor of Arts/Science,2
Bachelor of Arts/Sciences,2
Bachelor of Behaviour Neuroscien,1
Bachelor of Business (B.A),1
Bachelor of Business Administrat,45
Bachelor of Business Adminstrati,1
Bachelor of Business Information,1
Bachelor of Business Management,2
Bachelor of Business Science,3
Bachelor of Business Science (Bu,1
Bachelor of Business Science (Ho,1
Bachelor of Business Studies,3
Bachelor of Business in Real Est,2
"Bachelor of Business,",1
Bachelor of Business`,1
Bachelor of Civil Engineering,1
Bachelor of Commerc,1
Bachelor of Commerce,6
Bachelor of Commerce (B.Com.),5
"Bachelor of Commerce (B.Com.), A",1
"Bachelor of Commerce (B.Com.), E",1
"Bachelor of Commerce (B.Com.), l",1
Bachelor of Commerce (BCom),2
Bachelor of Commerce (Honors),1
Bachelor of Commerce (Honors) Gr,1
Bachelor of Commerce (Hons),1
Bachelor of Commerce (Partially ,1
Bachelor of Commerce Degree,1
Bachelor of Commerce Honours,1
Bachelor of Commerce and Adminis,1
Bachelor of Commerce degree,1
Bachelor of Commerce in Accounta,1
Bachelor of Commerce with Honors,1
Bachelor of Commerce with Honour,1
"Bachelor of Commerce, Bachelor o",1
"Bachelor of Commerce, Honors",1
"Bachelor of Commerce, PGDA",1
Bachelor of Communication,2
Bachelor of Communications,1
Bachelor of Computer Application,2
Bachelor of Computer Engineering,1
Bachelor of Computer Information,1
Bachelor of Computer Science,12
Bachelor of Computer Science (BC,1
Bachelor of Computer Science (BS,3
Bachelor of Computer Science (Ho,1
Bachelor of Computer Science and,1
Bachelor of Computer and Mathema,1
Bachelor of Computing,7
Bachelor of Computing Honors,1
Bachelor of Computing with First,2
Bachelor of Corporate Secretarys,1
Bachelor of Design,10
"Bachelor of Digital Systems, Inf",1
Bachelor of Economics,16
Bachelor of Education,3
Bachelor of Electrical Engineeri,4
Bachelor of Electrical and Compu,1
Bachelor of Electronics Engineer,1
Bachelor of Engg.,1
Bachelor of Engineer,1
Bachelor of Engineering,2
Bachelor of Engineering (B.E),2
Bachelor of Engineering (B.E.),9
"Bachelor of Engineering (B.E.), ",1
Bachelor of Engineering (B.Eng.),6
Bachelor of Engineering (BE),2
Bachelor of Engineering (BEng),2
Bachelor of Engineering (First C,1
Bachelor of Engineering (Honors),1
Bachelor of Engineering (Hons),1
Bachelor of Engineering (Mechani,1
Bachelor of Engineering - System,1
Bachelor of Engineering and Mana,1
Bachelor of Engineering and a Mi,1
Bachelor of Engineering in Compu,2
Bachelor of Engineering with Hon,1
Bachelor of Entrepreneurship,1
Bachelor of Finance,4
Bachelor of Fine Art,2
Bachelor of Fine Arts,38
Bachelor of Fine Arts (B.F.A.),2
Bachelor of Fine Arts (BFA),4
Bachelor of Fine and Applied Art,1
Bachelor of General Studies,2
Bachelor of Geography,1
Bachelor of Graphic Design,1
Bachelor of ICT,1
Bachelor of IT,1
"Bachelor of Information System, ",1
Bachelor of Information Systems,3
Bachelor of Information Systems ,1
Bachelor of Information Technolo,9
Bachelor of Journalism,8
Bachelor of Journalism (BJourn),1
Bachelor of Landscape Architectu,1
Bachelor of Law,8
Bachelor of Law and Commerce,1
Bachelor of Laws,17
Bachelor of Laws (LL.B.,1
Bachelor of Laws (LLB),2
Bachelor of Laws/ Bachelor of Bu,1
Bachelor of Liberal Arts,3
Bachelor of Liberal Arts (ALB),1
Bachelor of Liberal Arts and Sci,1
Bachelor of Liberal Arts degree,1
Bachelor of Management,1
Bachelor of Management Studies,1
Bachelor of Manufacturing & Mate,1
Bachelor of Marketing,1
Bachelor of Mathematics,8
"Bachelor of Mathematics, Compute",1
Bachelor of Media Arts,2
Bachelor of Medical Science,1
Bachelor of Medicine & Bachelor ,1
Bachelor of Medicine and Surgery,1
Bachelor of Music,6
Bachelor of Nursing,2
Bachelor of Performing Arts,1
Bachelor of Pharmacy,3
Bachelor of Pharmacy (BPharm),1
Bachelor of Philosophy,2
Bachelor of Photography,1
Bachelor of Production,1
Bachelor of Sceince,1
Bachelor of Science,55
Bachelor of Science (B.S.),100
"Bachelor of Science (B.S.),",3
"Bachelor of Science (B.S.), Appl",1
"Bachelor of Science (B.S.), Comp",2
Bachelor of Science (B.Sc.,1
Bachelor of Science (B.Sc.),12
"Bachelor of Science (B.Sc.), Com",1
Bachelor of Science (BS,2
Bachelor of Science (BS),59
Bachelor of Science (BS) pursued,1
"Bachelor of Science (BS),",2
Bachelor of Science (BS): Techno,1
Bachelor of Science (BSc,1
Bachelor of Science (BSc),16
"Bachelor of Science (BSc),",1
"Bachelor of Science (BSc), Econo",1
"Bachelor of Science (BSc); MSc, ",1
Bachelor of Science (Computer Sc,1
Bachelor of Science (E.E.),1
Bachelor of Science (Honors),1
Bachelor of Science (Honors) in ,1
Bachelor of Science (Honours),2
Bachelor of Science (Hons),1
"Bachelor of Science (Hons), Firs",1
Bachelor of Science (OnlineMedia,1
Bachelor of Science - Applied Ma,1
Bachelor of Science - Game Art &,1
Bachelor of Science / Engineer,1
"Bachelor of Science 2012, Major:",1
Bachelor of Science Business Mgm,1
Bachelor of Science Degree,13
Bachelor of Science Honours,3
Bachelor of Science Honours Degr,1
Bachelor of Science Hons,1
Bachelor of Science Marketing,1
Bachelor of Science Program,1
Bachelor of Science degree,22
Bachelor of Science degree equiv,1
Bachelor of Science degree with ,1
Bachelor of Science degrees,1
Bachelor of Science in Agricultu,1
Bachelor of Science in Business,5
Bachelor of Science in Business ,12
Bachelor of Science in Commerce,3
Bachelor of Science in Commerce ,1
Bachelor of Science in Computer ,4
Bachelor of Science in Design,1
Bachelor of Science in Economics,7
Bachelor of Science in Education,1
Bachelor of Science in Electrica,2
Bachelor of Science in Engineeri,5
Bachelor of Science in Family an,1
Bachelor of Science in Finance,2
Bachelor of Science in Financial,1
Bachelor of Science in Foreign S,1
Bachelor of Science in General E,1
Bachelor of Science in Informati,2
Bachelor of Science in Managemen,1
Bachelor of Science in Marketing,1
Bachelor of Science in Mechanica,1
Bachelor of Science in Nursing,1
Bachelor of Science in Psycholog,1
Bachelor of Science in Technolog,1
Bachelor of Science in business ,1
Bachelor of Science with Honors,1
Bachelor of Science with Honours,1
"Bachelor of Science, Accounting ",1
"Bachelor of Science, Actuarial S",1
"Bachelor of Science, Bachelor of",1
"Bachelor of Science, Business",1
"Bachelor of Science, Business Ad",3
"Bachelor of Science, Civil Engin",1
"Bachelor of Science, Combined Sc",1
"Bachelor of Science, Communicati",1
"Bachelor of Science, Computer Sc",1
"Bachelor of Science, Finance",2
"Bachelor of Science, Magna Cum L",1
"Bachelor of Science, Master of S",2
"Bachelor of Science, Minor",1
"Bachelor of Science,Certified Pu",1
Bachelor of Science/Bachelor of ,1
Bachelor of Sciences,7
Bachelor of Sciences (Agricultur,1
Bachelor of Sciences (BSc) in Ge,1
Bachelor of Sciences (Honours),1
Bachelor of Sience,1
Bachelor of Social Science,2
Bachelor of Social Sciences,1
Bachelor of Software Engineering,3
Bachelor of Surveying Science,1
Bachelor of Taxation,1
Bachelor of Technologies,1
Bachelor of Technology,2
Bachelor of Technology (B.Tech),1
Bachelor of Technology (B.Tech.,1
Bachelor of Technology (B.Tech.),12
Bachelor of Technology (BTech,19
Bachelor of Technology (BTech),1
Bachelor of Technology (Honors),2
Bachelor of Technology Degree,1
Bachelor of Technology Informati,2
Bachelor of Technology degree,1
Bachelor of University Studies,1
Bachelor of Urban Planning and D,1
Bachelor of arts degree,3
Bachelor of fine arts,2
Bachelor of law,1
Bachelor of the Arts,10
Bachelor or Arts,3
Bachelor or Science,2
Bachelor w/ Honors,1
Bachelor with Distinction,1
Bachelor with Honors,1
Bachelor with double majors,1
Bachelor's,6
Bachelor's (almost completed),1
Bachelor's (with honors) and Mas,1
Bachelor's Business Administrati,1
Bachelor's Degree,24
Bachelor's Degree in Computer Sc,1
Bachelor's Degree of Science,1
Bachelor's Degree?,1
Bachelor's Desgree,1
Bachelor's Science,1
Bachelor's and Master's Degree,2
Bachelor's and Master's Degrees,1
Bachelor's and Master's degrees,1
Bachelor's and master's degrees,2
Bachelor's degre,2
Bachelor's degree,1
Bachelor's degree and Master's d,1
"Bachelor's degree, Business Admi",1
"Bachelor's degree, Computer Engi",1
Bachelor's degrees,1
Bachelor's in Business Administr,3
Bachelor's in Business Managemen,1
Bachelor's in Technology,1
Bachelor's of Applied Science,1
Bachelor's of Art,1
"Bachelor's of Arts in Economics,",1
Bachelor's of Commerce,2
Bachelor's of Computer Science,1
Bachelor's of Fine Arts,2
Bachelor's of Pharmacy,1
Bachelor's of Science - MIS,1
Bachelor's of Science Degree in ,1
Bachelor's of Science degree,1
Bachelor's of Science in Nursing,1
Bachelor's of arts and law degre,1
Bachelor's with Honours,1
"Bachelor's, Business Administrat",1
"Bachelor's, Communication and Me",1
"Bachelor, Arts",2
"Bachelor, Bachelor of Arts in cr",1
"Bachelor, Business",1
"Bachelor, E-commerce & Accountin",1
"Bachelor, Economics",2
"Bachelor, Electronic Engineering",1
"Bachelor, Engineering",1
Bachelor/Erasmus,1
Bachelore,1
Bachelors,56
Bachelors (1st),1
Bachelors (BS),1
Bachelors (BSc),1
Bachelors (First Class honours),1
Bachelors (Hons.),2
Bachelors Arts,1
Bachelors Business Administratio,2
Bachelors Business Adminsitratio,1
Bachelors Degree in Communicatio,1
Bachelors Degree in computer Sci,1
Bachelors Degree with Certificat,1
Bachelors Degrees,3
Bachelors Hons.,1
Bachelors In Commerce,1
Bachelors Science,2
Bachelors and Masters,4
Bachelors and Masters of Science,1
Bachelors degrees,1
Bachelors if Science,1
Bachelors in Business & IT,1
Bachelors in Business Administra,4
Bachelors in Business Studies,2
Bachelors in Commerce,2
Bachelors in Commerce & Economic,1
Bachelors in Computer Applicatio,1
Bachelors in Computer Science.,1
Bachelors in Economics,1
Bachelors in Electronics Enginee,1
Bachelors in Engineering,15
Bachelors in Engineering (B.E.),1
Bachelors in Finance and Informa,1
Bachelors in Management Studies,1
Bachelors in Science,2
Bachelors in Science and Commerc,1
Bachelors in Technology,5
Bachelors of  Business,1
Bachelors of Accounting and Fina,1
Bachelors of Administrative Stud,1
Bachelors of Applied Science,1
Bachelors of Architecture degree,1
Bachelors of Art,3
Bachelors of Art & Science,1
Bachelors of Arts Honours,1
Bachelors of Business,4
Bachelors of Business & Entrepre,1
Bachelors of Business Administra,2
Bachelors of Commerce,7
Bachelors of Communications,1
Bachelors of Computer Science,1
Bachelors of Education,1
Bachelors of Electronics and Com,1
Bachelors of Engg.,1
Bachelors of Engineering,14
Bachelors of Enginneering,1
Bachelors of Fine Art,2
Bachelors of Fine Arts,2
Bachelors of General Studies,1
Bachelors of Information Technol,1
Bachelors of Journalism,5
Bachelors of Law,1
Bachelors of Liberal Arts,1
Bachelors of Mathematics,1
Bachelors of Public Policy,1
Bachelors of Scienc,2
Bachelors of Science,3
Bachelors of Science (BS),1
Bachelors of Science (Honors),1
Bachelors of Science (Hons.),1
Bachelors of Science (dual degre,1
Bachelors of Science Business Ad,1
Bachelors of Science and Enginee,1
Bachelors of Science degree,3
Bachelors of Science in Business,8
Bachelors of Science in Engineer,1
Bachelors of Science in Manageme,1
"Bachelors of Science, Mechanical",1
Bachelors of Technology,11
Bachelors of Telecom Engineering,1
Bachelors or Arts,1
Bachelors with Honors,3
Bachelors' degrees,1
"Bachelors, Accounting",1
"Bachelors, Business and Educatio",1
"Bachelors, Communication",1
"Bachelors, Computer Science",1
"Bachelors, Cum Laude",1
"Bachelors, Engineering",1
"Bachelors, Honors",1
"Bachelors, Honours",1
"Bachelors, Hons.",1
Bachelors,6
Bachelors Degree,228
Bachelors Degree &  Masters De,1
Bachelors Degree (summa cum lau,1
Bachelors Degree in Accounting ,1
Bachelors Degrees,7
Bachelors and Masters,2
Bachelors and Masters degrees,2
Bachelors degree,89
Bachelors degrees,1
Bachelors in International Busi,1
Bachelors in business and marke,1
Bachelors of Arts,1
Bachelors of HR Management,1
Bachelors of Science,13
Bachelors of applied science an,1
Bachelorâs Degree,3
Bachelorâs degree,15
Bachelour,1
Bacheolor,1
Bacher of Arts,1
Bacherlor of Business,1
"Bacherlor, Business Administrati",1
Bacherlors,4
Bachiller,3
Bachillerato,1
Bachilor,1
Bachlelors,2
Bachleor,1
Bachleor Of Science,1
Bachleor of Arts,1
Bachleor of Science,1
Bachleor's,1
Bachleors,1
Bachlor,7
Bachlor Science,1
Bachlor of Commerce,1
Bachlor of Electrical and Electr,1
Bachlor of Science,1
Bachlor of Science (2),1
Bachlor of Techonology,1
Bachlor's Degree,6
Bachlor's of Science,2
Bachlore of Engineering,1
Bachlors,7
Bachlors of Arts,2
Bacholar in Science,1
Bacholar's Degree,1
Bacholer of Science,1
Bacholers of Engg,1
Bacholor of Commerce,1
Bachuler degree,1
Bagroot,1
Bagrut,1
Bahelor's,1
Bal Bharati Public School,1
Banchelor,1
Banking,1
Banking and Finance,1
Bar Admission,1
Barcelor,1
Barchelor,1
Barrister,1
Barrister of Law,1
Baschelor's of Science,1
Basic Medical Science (B.Med.Sc.,1
Basico,1
Batchalor,1
Batchelor,1
Batchelor of Arts,2
Batchelor of Commerce,2
Batchelor of Computer Science,1
Batchelor of Engineering,2
Batchelor of Science,3
Batchelor's degree,1
Batchelors,2
Batchelors (LLB),1
Batxillerat i COU,1
Bc.,2
BcA,1
BcS. IT,1
Bch,1
Bcom,2
Bcomm + HON in Econ,1
